epoch,train_loss,val_loss,train_acc,val_acc
1,3.7667103025836877,2.940849293944656,0.31316725978647686,0.3333333333333333
2,3.6117944140451232,2.790328364218435,0.33451957295373663,0.3870967741935484
3,3.383792140729911,2.811494383760678,0.3096085409252669,0.3655913978494624
4,3.0165364962879875,2.7113902286816667,0.35587188612099646,0.3763440860215054
5,2.9254514721364737,2.493170904856856,0.3416370106761566,0.3978494623655914
6,2.918832626207019,2.1322845899930565,0.3487544483985765,0.44086021505376344
7,2.238015476919154,2.0302643058120564,0.3879003558718861,0.45161290322580644
8,2.060911269586706,1.9618934533929313,0.45195729537366547,0.46236559139784944
9,1.83173020963567,1.8665755743621497,0.44483985765124556,0.4838709677419355
10,1.8189885217524084,1.7726830615792224,0.47330960854092524,0.4946236559139785
11,1.6121416906445052,1.6520859913159442,0.4377224199288256,0.5268817204301075
12,1.5628108206168612,1.6107393464734476,0.48398576512455516,0.5483870967741935
13,1.3185141065366752,1.6191416043107227,0.5551601423487544,0.4946236559139785
14,1.386185198916235,1.5808964865182036,0.5266903914590747,0.5268817204301075
15,1.2056163053071371,1.4579914295545189,0.5444839857651246,0.5376344086021505
