epoch,train_loss,val_loss,train_acc,val_acc
1,3.497192624519611,2.477820268241308,0.3482758620689655,0.3655913978494624
2,3.469577692294943,2.8722399383462887,0.3103448275862069,0.3763440860215054
3,3.492441200387889,2.8264938708274596,0.32413793103448274,0.3548387096774194
4,3.0051148151529246,2.8533968361475135,0.3724137931034483,0.34408602150537637
5,2.992188678938767,2.5757908821105957,0.3793103448275862,0.3548387096774194
6,2.9382607986700946,2.4194808108832246,0.36551724137931035,0.3870967741935484
7,2.666976737976074,2.3316216263719785,0.3931034482758621,0.41935483870967744
8,2.168391169350723,2.1821018470230924,0.40344827586206894,0.3978494623655914
9,2.0620290493143014,2.0686648430362826,0.45517241379310347,0.43010752688172044
10,1.9447514402455297,1.8499906755262805,0.46206896551724136,0.4838709677419355
11,1.8123218322622365,1.7661664883295696,0.46206896551724136,0.44086021505376344
12,1.653342575040357,1.576347933020643,0.47586206896551725,0.4946236559139785
13,1.581978493723376,1.588478890798425,0.5103448275862069,0.4838709677419355
14,1.5110268461293188,1.6758258291470107,0.5206896551724138,0.4838709677419355
15,1.3390853998989893,1.5139151055325744,0.5758620689655173,0.5483870967741935
