epoch,train_loss,val_loss,train_acc,val_acc
1,3.5644037336916536,2.801880923650598,0.32432432432432434,0.34408602150537637
2,3.368803745991475,3.5512955675842943,0.3581081081081081,0.3118279569892473
3,3.1263705395363472,3.3761277455155567,0.38513513513513514,0.3225806451612903
4,3.027789541192957,3.2319590353196666,0.36824324324324326,0.34408602150537637
5,2.94051810857412,2.6066907657090055,0.33783783783783783,0.3225806451612903
6,2.531336803694029,2.4123563048660115,0.3716216216216216,0.3763440860215054
7,2.1207832194663383,2.0597403485287904,0.4560810810810811,0.3655913978494624
8,1.9744485181731146,1.8522672102015505,0.44594594594594594,0.41935483870967744
9,1.80149651218105,1.8645682732264202,0.46621621621621623,0.40860215053763443
10,1.592389203406669,1.6492925625975414,0.5,0.3978494623655914
11,1.5256329420450572,1.716429598869816,0.5337837837837838,0.43010752688172044
12,1.378194912059887,1.5851817220769904,0.5304054054054054,0.45161290322580644
13,1.4122812441877417,1.5194210916437128,0.6013513513513513,0.46236559139784944
14,1.306782435726475,1.4691646727182532,0.5540540540540541,0.5053763440860215
15,1.1618593302932945,1.408773253040929,0.6351351351351351,0.5376344086021505
